Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-222.6707	-570.4772	347.8065	1.406209	0.6296694
6	-187.8554	-535.2439	347.3885	1.407101	1.131085
12	-173.1255	-520.5104	347.3849	1.407101	1.134328
18	-188.8414	-535.7183	346.8769	2.27818	0.7376137
24	-150.5536	-497.9719	347.4183	1.761811	0.696197
30	-156.8742	-504.3978	347.5237	1.717728	0.4946238
36	-155.2536	-502.0821	346.8285	2.293437	0.293634
42	-114.8058	-461.6343	346.8285	2.293437	0.293634
48	-167.4117	-515.2465	347.8348	1.40594	0.5197947
54	-154.6523	-502.3747	347.7225	1.388893	0.8001093
60	-152.8706	-500.5735	347.7029	1.408457	0.8001093
66	-181.9759	-528.8672	346.8913	1.197981	1.682897
72	-169.4266	-516.4915	347.0649	1.304654	1.477825
78	-163.8946	-510.6235	346.7288	1.1463	1.83261
84	-170.7195	-518.031	347.3115	0.2956799	2.013668
90	-151.7649	-499.1919	347.427	1.103295	1.353525
96	-173.9088	-519.8625	345.9537	0.9631029	2.458714
102	-225.1832	-571.0304	345.8472	2.054853	1.814049
108	-206.1946	-553.6013	347.4066	1.768861	0.704263
114	-195.1007	-542.444	347.3433	1.295396	1.265821
120	-206.5785	-553.7163	347.1378	1.500873	1.265821
126	-225.2545	-573.0647	347.8102	1.347411	0.7335457
132	-208.7158	-554.2001	345.4844	1.664725	2.311762
138	-188.8796	-536.795	347.9154	1.021725	0.9974937
144	-171.5014	-519.0846	347.5832	1.591546	0.705484
150	-211.1173	-557.2863	346.1691	0.4840591	2.622882
156	-149.284	-495.6221	346.3381	0.2411212	2.668444
162	-129.6437	-476.7155	347.0718	0.6876759	1.911494
168	-135.2349	-482.2446	347.0097	0.9140924	1.799044
174	-104.4973	-452.5322	348.0349	1.193432	0.5853401
180	-76.62025	-424.5195	347.8992	1.340497	0.5303005
186	-74.74779	-422.8823	348.1345	0.6145599	1.172183
192	-71.15602	-418.7886	347.6326	1.599336	0.5721659
198	-85.86531	-433.5697	347.7044	1.486216	0.3569786
204	-97.04541	-444.3218	347.2764	1.915336	0.3584175
210	-121.5371	-468.0778	346.5407	2.124647	1.243657
216	-115.2072	-461.8771	346.6699	2.521267	0.3577621
222	-120.2516	-466.5668	346.3151	1.73874	0.06371827
228	-103.7994	-450.1489	346.3495	2.185355	0.1139718
234	-102.3398	-448.04	345.7003	2.276368	0.05835043
240	-112.1118	-458.5926	346.4808	2.619992	0.8139964
246	-131.9957	-479.9962	348.0005	1.100283	0.8139964
252	-106.089	-452.6933	346.6043	1.008169	2.01019
258	-138.4177	-483.5708	345.1531	2.795475	1.781847
264	-190.0088	-535.6841	345.6753	2.273276	1.781847
270	-140.2909	-488.2263	347.9354	1.297112	0.5700145
276	-126.4021	-474.1525	347.7504	1.108908	1.072756
282	-114.1034	-461.6602	347.5568	1.547384	0.80958
288	-79.49327	-426.7291	347.2358	1.859804	0.8207109
294	-91.7961	-437.0981	345.302	1.742913	2.37796
300	-105.6283	-453.8071	348.1788	0.3048966	1.390141
306	-114.2809	-461.4145	347.1336	0.4596182	2.023009
312	-78.41321	-425.9686	347.5554	0.9578055	1.367036
318	-64.05981	-411.8507	347.7909	0.8650509	1.25147
324	-93.20505	-439.6966	346.4915	1.415114	1.810887
330	-90.19241	-438.4009	348.2085	1.032883	0.507237
336	-58.00096	-406.2466	348.2457	0.8551845	0.8139427
342	-55.56679	-402.8615	347.2947	1.293676	1.306947
